id,state,lga,facility_name,Data source,corrected_facility_name
1,Akwa Ibom,Oruk Anam,"GH, Ikot Okoro",IAR TB SAMPLE MAPPING AND TARRIFF,not_found
2,Akwa Ibom,Eket,"Immanuel General Hospital, Eket",IAR TB SAMPLE MAPPING AND TARRIFF,not_found
3,Akwa Ibom,Essien Udim,ST. MARY 'S HOSPITAL URUA AKPAN,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
4,Akwa Ibom,Etim Ekpo,GENERAL HOSPITAL URUK ATA IKOT EKPO,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
5,Akwa Ibom,Etinan,QUA IBOE CHURCH LEPROSY HOSPITAL,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
6,Akwa Ibom,Ikot Ekpene,"IDH, IKOT EKPENE",IAR TB SAMPLE MAPPING AND TARRIFF,not_found
7,Akwa Ibom,Ikono,GENERAL HOSPITAL IBIAKU NTOK  OKPO,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
8,Akwa Ibom,Ikot Abasi,GH Ikot Abasi,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
9,Akwa Ibom,Uyo,UNIVERSITY OF UYO TEACHING HOSPITAL,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
10,Akwa Ibom,Oron,GENERAL HOSPITAL IQUITA,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
11,Akwa Ibom,,ST LUKES HOSPITAL ANUA,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
12,Anambra,ANAMBRA WEST,GENERAL HOSPITAL UMUERI,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
13,Anambra,AWKA SOUTH,ANAMBRA STATE UNIV. TH,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
14,Anambra,AWKA NORTH,ANAMBRA STATE UNIV. TH,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
15,Anambra,ANAOCHA,ST JOSEPH HOSPITAL ADAZI,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
16,Anambra,ANAOCHA,St Joseph Hospital Adazi ,IAR TB SAMPLE MAPPING AND TARRIFF,St Joseph's Hospital
17,Anambra,AYAMELUM,GENERAL HOSPITAL UMUERI,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
18,Anambra,EKWUSIGO,NAUTH,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
19,Anambra,IDEMILI SOUTH,NAUTH,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
20,Anambra,IDEMILI NORTH,IYIENU MISSION HOSPITAL OGIDI,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
21,Anambra,IHIALA,OUR LADY OF LOUDES,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
22,Anambra,OGBARU,ONC DIAGNOSTIC CENTER OGBARU,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
23,Anambra,ORUMBA NORTH,GENERAL HOSP. AJALLI,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
24,Anambra,ORUMBA SOUTH,GENERAL HOSP. EKWULUOBIA,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
25,Anambra,OYI,ISAAC CHIRA HOSPITAL  AWKUZU,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
26,Anambra,NNEWI SOUTH,ST JOSEPH HOSPITAL ADAZI,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
27,Anambra,NJIKOKA,GENERAL HOSP. ENUGU UKWU,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
28,Anambra,ONITSHA NORTH,ST CHARLES BOROMEO/GEN.HOSP.ONITSHA,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
29,Anambra,ONITSHA SOUTH,ST CHARLES BOROMEO/GEN.HOSP.ONITSHA,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
30,Anambra,ONITSHA SOUTH,ST CHARLES BOROMEO,IAR TB SAMPLE MAPPING AND TARRIFF,not_found
31,Anambra,Aguata,Visitation Hospital Umuchu,Delta and Anambra Sample Shipment Mapping.xlsx,Visitation Hospital Osumenyi
32,Anambra,Aguata,Anglican Diocesan Hospital and Maternity  Igboukwu,Delta and Anambra Sample Shipment Mapping.xlsx,Anglican Diocesan Hospital and Maternity Igboukwu
33,Anambra,Aguata,St Rapheal Catholic Maternity Igboukwu,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
34,Anambra,Aguata,EDELTRAUT MEMORIAL HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
35,Anambra,Aguata,NATIONAL MEDICAL CENTRE,Delta and Anambra Sample Shipment Mapping.xlsx,NATIONAL MEDICAL CENTRE ULA EKWULUOBIA
36,Anambra,Aguata,KANDUDI SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
37,Anambra,Aguata,ST MARY'S HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
38,Anambra,Aguata,APEX MEDICAL CENTRE,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
39,Anambra,Aguata,CHIBUZOR HOSPITAL AND MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
40,Anambra,Aguata,DIONYE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
41,Anambra,Aguata,OGECHUKWU HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
42,Anambra,Aguata,CHIDERA SPECIALIST HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
43,Anambra,Aguata,UKANDU HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
44,Anambra,Aguata,CYNVIC SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
45,Anambra,Anambra East,Dioceasan Hosptal Umueri,Delta and Anambra Sample Shipment Mapping.xlsx,Diocesan Hospital
46,Anambra,Anambra West,Rex Universorum Hospital Mmiata Anam,Delta and Anambra Sample Shipment Mapping.xlsx,Rex Universorom Hospital and Maternity
47,Anambra,Anaocha,RISE CLINIC,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
48,Anambra,Anaocha,ECHEZONACHUKWU HOSPITAL & MATERNITY AGULU ,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
49,Anambra,Anaocha,CHUKWUDI HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
50,Anambra,Anaocha,IFEANYICHUKWU HOSPITAL & MATERNITY AGULU,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
51,Anambra,Anaocha,"ALL SAINTS HOSPITAL, AGULU",Delta and Anambra Sample Shipment Mapping.xlsx,not_found
52,Anambra,Anaocha,ST MICHAEL MEMORIAL HOSPITAL ADAZI ENU,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
53,Anambra,Anaocha,MACJANE HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
54,Anambra,Aniocha,ST Joseph Hospital Adazi Nnukwu,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
55,Anambra,Awka North,NEON UNIVERSAL MEDICAL SERVICES,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
56,Anambra,Awka North,DUECARE HOSPITAL/MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
57,Anambra,Awka North,IHECHICHORO BLESSED MEDICALS,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
58,Anambra,Awka North,ST RAPHAEL HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
59,Anambra,Awka North,GOD'S GIFT/LIFE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
60,Anambra,Awka North,DIKE MEDICAL CENTRE,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
61,Anambra,Awka North,IZUNNA HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
62,Anambra,Awka North,LANCET HOSPITAL LTD (D-ZOE FOUNDATION HOSPITAL),Delta and Anambra Sample Shipment Mapping.xlsx,not_found
63,Anambra,Awka South,Regina Celi Hospital Awka,Delta and Anambra Sample Shipment Mapping.xlsx,Regina Ceali Hospital
64,Anambra,Awka South,St Faith Hospital Awka,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
65,Anambra,Awka South,MESHIAC MEMORIAL HOSPITAL/MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
66,Anambra,Awka South,GRACELAND SPECIALIST HOSPITAL/MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
67,Anambra,Awka South,CHRIST THE KING SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
68,Anambra,Awka South,AWKA MEDICAL CENTRE,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
69,Anambra,Awka South,PRIME HOSPITAL AWKA,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
70,Anambra,Awka South,CREST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
71,Anambra,Awka South,OKOYE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
72,Anambra,Awka South,CHIDUBEM HOSPITAL AND MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
73,Anambra,Awka South,HARMONY HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
74,Anambra,Awka South,APEX HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
75,Anambra,Awka South,ELDORADO MULTISPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
76,Anambra,Awka South,MADONNA HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
77,Anambra,Awka South,SEFTON SPECIALIST HOSPITAL AWKA,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
78,Anambra,Awka South,CELFLOW SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
79,Anambra,AYAMELUM,OGECHUKWU MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
80,Anambra,Dunukofia,Immaculate heart Hospital and maternity Umudioka,Delta and Anambra Sample Shipment Mapping.xlsx,Immaculate heart Hospital and Maternity
81,Anambra,Dunukofia,IDEAL HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
82,Anambra,Dunukofia,EDOZIE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
83,Anambra,Ekwusigo,Joint Hospital Ozubulu,Delta and Anambra Sample Shipment Mapping.xlsx,"Joint Hospital, Ozubulu Amakwa"
84,Anambra,Ekwusigo,EVANS HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
85,Anambra,Ekwusigo,HOLY FAMILY HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
86,Anambra,Ekwusigo,ST JUDE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
87,Anambra,Ekwusigo,ACCESS HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
88,Anambra,Idemili North,Iyi Enu Mission Hospital Ogidi,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
89,Anambra,Idemili North,Immaculate Hearth Hospital Nkpor,Delta and Anambra Sample Shipment Mapping.xlsx,Immaculate Heart Hospital Nkpor
90,Anambra,Idemili North,Immaculate Heart Hospital Abatete,Delta and Anambra Sample Shipment Mapping.xlsx,Immaculate Heart Hospital
91,Anambra,Idemili North,St Martins Hospital and Maternity Ugwuagba Obosi,Delta and Anambra Sample Shipment Mapping.xlsx,St Martins Hospital and Maternity
92,Anambra,Idemili North,MADUEKE MEMORIAL HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
93,Anambra,Idemili North,LUKESON ROYAL HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
94,Anambra,Idemili North,MULTICARE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
95,Anambra,Idemili North,HOSSANA HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
96,Anambra,Idemili North,IDEMILI HEALTHCARE,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
97,Anambra,Idemili North,OBINWANNE HOSPITAL AND MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
98,Anambra,Idemili North,MATER-CHRISTI HOSPITAL NKPOR,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
99,Anambra,Idemili North,HEAVENLY GRACE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
100,Anambra,Idemili North,UPRIGHT N. MEDICALS NKPOR,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
101,Anambra,Idemili North,CROWN HOSPITAL ,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
102,Anambra,Idemili North,OAKLAND SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
103,Anambra,Idemili North,CHIBUIKEM HOSPITAL NKPOR,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
104,Anambra,Idemili North,NEW MAYOR HOSPITAL AND FERTILITY LTD,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
105,Anambra,Idemili North,AJAEFO OKWUOSA HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
106,Anambra,Idemili North,LIFE VALUE ,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
107,Anambra,Idemili North,ST JOHN HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
108,Anambra,Idemili North,"BEX MEMORIAL HOSPITAL, AWADA",Delta and Anambra Sample Shipment Mapping.xlsx,not_found
109,Anambra,Idemili North,CHISOM HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
110,Anambra,Idemili North,ROYAL SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
111,Anambra,Idemili North,PIETA HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
112,Anambra,Idemili North,DAY SPRING HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
113,Anambra,Idemili South,Our Lady of Fatima Hospital Awka Etiti,Delta and Anambra Sample Shipment Mapping.xlsx,Our Lady of Fatima Hospital and Maternity
114,Anambra,Idemili South,MOON HOSPITAL LTD NNOBI,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
115,Anambra,Idemili South,CHUKWUNONSO HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
116,Anambra,Idemili South,UZONDU SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
117,Anambra,Idemili South,JESUS IS LORD HOSPITAL OBA,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
118,Anambra,Idemili South,RELIANCE HOSPITAL OBA,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
119,Anambra,Idemili South,MEZIE SPECIALIST HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
120,Anambra,Idemili South,"GREENLAND FOUNDATION HOSPITAL, NNOKWA",Delta and Anambra Sample Shipment Mapping.xlsx,not_found
121,Anambra,Idemili South,AMARA NURSING HOME,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
122,Anambra,Idemili South,ST FRANCIS HOSPITAL AWKA-ETITI,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
123,Anambra,Idemili South,EGBUNIKE HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
124,Anambra,Idemili South,ST FATIMA HOSPITAL AND MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
125,Anambra,Ihiala,Our Lady of Lourdes Ihiala,Delta and Anambra Sample Shipment Mapping.xlsx,Our Lady of Lourdes Hospital Ihiala
126,Anambra,Ihiala,St Lukes  Hospital Isieke,Delta and Anambra Sample Shipment Mapping.xlsx,St. Lukes Hospital
127,Anambra,Ihiala,GOD'S FOUNTAIN OF FAVOUR HOSPITAL SPECIALIST,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
128,Anambra,Ihiala,NNEDIASO HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
129,Anambra,Ihiala,ST ANTHONY'S MATERNITY IHIALA,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
130,Anambra,Ihiala,LIVETH HOSPITAL OKIJA,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
131,Anambra,Ihiala,INFANT JESUS HOSPITAL/MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
132,Anambra,Ihiala,REX HOSPITAL/MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
133,Anambra,Ihiala,EVANS SPECIALIST HOSPITAL OKIJA,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
134,Anambra,Ihiala,VERA CLINIC HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
135,Anambra,Njikoka,BELUCHUKWU HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
136,Anambra,Njikoka,KING DAVID HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
137,Anambra,Njikoka,URBAN HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
138,Anambra,Njikoka,CRYSTAL HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
139,Anambra,Njikoka,OKPALA HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
140,Anambra,Njikoka,BEKE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
141,Anambra,Nnewi North,Nnewi Diocesan Hospital,Delta and Anambra Sample Shipment Mapping.xlsx,Diocesan Hospital
142,Anambra,Nnewi North,St Felix Catholic Specialist Hospital Umudim,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
143,Anambra,Nnewi North,Immaculate  heart Hospital Okwuani,Delta and Anambra Sample Shipment Mapping.xlsx,Immaculate Heart Hospital
144,Anambra,Nnewi North,ST ALPHONSUS CHIKEZIE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
145,Anambra,Nnewi North,EVER CARE MATERNITY/CLINIC,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
146,Anambra,Nnewi North,DOUGLAS NKEMDILIM CLINIC,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
147,Anambra,Nnewi North,CRYSTALS SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
148,Anambra,Nnewi North,OLIVE HOSPITAL & MAT,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
149,Anambra,Nnewi North,REDEMPTION SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
150,Anambra,Nnewi North,"WINNERS CHILDREN SPECIALIST HOSPITAL, ",Delta and Anambra Sample Shipment Mapping.xlsx,not_found
151,Anambra,Nnewi North,FIRST MAF HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
152,Anambra,Nnewi North,ST BENEDICT HOSPITAL & MAT,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
153,Anambra,Nnewi North,CHIMEX HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
154,Anambra,Nnewi North,CHIKEZIE HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
155,Anambra,Nnewi South,Diocesan Hospital Amichi,Delta and Anambra Sample Shipment Mapping.xlsx,Diocesan Hospital
156,Anambra,Nnewi South,Visitation Hospital Osumenyi,Delta and Anambra Sample Shipment Mapping.xlsx,Visitation Hospital Osumenyi
157,Anambra,Ogbaru,St Luke's Hospital Diocesan Hospital,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
158,Anambra,Ogbaru,GOODNEWS HOSPITAL & MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,OGECHUKWU HOSPITAL AND MATERNITY
159,Anambra,Ogbaru,PATRICIA MEMORIAL HOSPITAL/MATERNITY,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
160,Anambra,Ogbaru,LUMEN CHRISTI SPECIALIST HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
161,Anambra,Ogbaru,KINGSKIDD HOSPITAL & WOMEN CENTRE,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
162,Anambra,Ogbaru,GOD'S MERCY HOSPITAL/MAT ATANI,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
163,Anambra,Ogbaru,KELECHI MATERNITY/HOSPITAL,Delta and Anambra Sample Shipment Mapping.xlsx,not_found
